"ID";"site";"chamber.nr";"linear.f0";"linear.f0.se";"linear.f0.p";"linear.C0";"linear.AIC";"linear.AICc";"linear.RSE";"linear.r";"linear.diagnostics";"robust.linear.f0";"robust.linear.f0.se";"robust.linear.f0.p";"robust.linear.C0";"robust.linear.weights";"robust.linear.diagnostics";"HMR.f0";"HMR.f0.se";"HMR.f0.p";"HMR.kappa";"HMR.phi";"HMR.AIC";"HMR.AICc";"HMR.RSE";"HMR.diagnostics";"day";"month";"year";"f.detect.n2o";"f.detect.co2";"f.detect.ch4";"t.meas";"kappa.max";"dynamic.kappa.f0";"flux.se";"flux.p";"method";"date";"time";"treatment_fact2";"height [cm]";"diameter [cm]";"treatment_fact1";"sub_factor";"treatment_fact3";"block"
"21_03_18_CS9_19";"CS9";19;-0.0432661236786434;0.00545855866104606;0.0155467392154406;1.28929609283846;-18.2590521091384;Inf;0.0164942003044179;-0.984453260784559;"";-0.0449658484379231;0.00162330878895143;0.00107791933017193;1.29848379423997;"1,0.13,1,1";"";-0.0654575071108628;0.0258840307217512;0.239727293977271;1.18687423955504;0.999899922544135;-18.8072349664573;-58.8072349664573;0.0169634249966085;"";"21";"03";"18";0.01;0.01;0.007;0.75;-8.24116641497969;-0.0449658484379231;0.00162330878895143;0.00107791933017193;"robust linear";2018-03-21;"15:56";"gmt-2-R";18.5;30;"greek mountain tea";"up";"berm";"2"
"21_03_18_CS9_2";"CS9";2;0.00165171899777041;0.0027994939421995;0.614967266371577;1.26603978563323;-20.7784499721267;Inf;0.0120381899179941;0.385032733628419;"";0.00165171899777041;0.0027994939421995;0.614967266371577;1.26603978563323;"1,1,1,1";"";NA;NA;NA;NA;NA;NA;NA;NA;"Fehlender Wert oder etwas Unendliches durch das Modell erzeugt";"21";"03";"18";0.01;0.01;0.007;0.75;0.314613142432458;0.00165171899777041;0.0027994939421995;0.614967266371577;"robust linear";2018-03-21;"15:58";"tym-1-S";13;30;"thyme";"down";"interrow";"1"
"21_03_18_CS9_20";"CS9";20;-0.0132205865994204;0.00349081177959173;0.063183277915974;1.29090108947731;-20.4200101450272;Inf;0.0125898265093937;-0.936816722084026;"";-0.0132205865994204;0.00349081177959173;0.063183277915974;1.29090108947731;"1,1,1,1";"";-0.0338655372452797;0.0139464135709922;0.248696786517893;2.97715152564854;1.22574463487289;-25.4872319319795;-65.4872319319795;0.00736000001544999;"";"21";"03";"18";0.01;0.01;0.007;0.75;-2.51820697131817;-0.0132205865994204;0.00349081177959173;0.063183277915974;"robust linear";2018-03-21;"15:17";"oreg-2-R";15.5;30;"oregano";"up";"berm";"2"
"21_03_18_CS9_21";"CS9";21;-0.0117394039869981;0.0038824429362145;0.0941783726843168;1.28012468347362;-19.8233575917626;Inf;0.0135646973814679;-0.905821627315683;"";-0.0132053073757619;6.56247657570266e-06;1.98489690929003e-07;1.28928657965339;"1,0.00073,1,1";"";-0.0401154407758899;0.0341237234090775;0.448730622319414;4.38130231473474;1.23138445260572;-21.009557046144;-61.009557046144;0.0128812053010165;"";"21";"03";"18";0.01;0.01;0.007;0.75;-2.23607694990441;-0.0132053073757619;6.56247657570266e-06;1.98489690929003e-07;"robust linear";2018-03-21;"15:19";"ctrl-3-R";16;30;"control";"up";"berm";"3"
"21_03_18_CS9_22";"CS9";22;-0.0169189574257928;0.00109368575992855;0.00415265768828905;1.28654467002901;-27.4887629790174;Inf;0.00520331001111434;-0.995847342311711;"";-0.0169762186045584;0.00154442496869989;0.00786482306430287;1.28642283773376;"1,1,0.81,1";"";NA;NA;NA;NA;NA;NA;NA;NA;"singulärer Gradient";"21";"03";"18";0.01;0.01;0.007;0.75;-3.22265855729386;-0.0169762186045584;0.00154442496869989;0.00786482306430287;"robust linear";2018-03-21;"15:20";"oreg-3-S";11.75;30;"oregano";"up";"interrow";"3"
"21_03_18_CS9_23";"CS9";23;-0.0183198902062726;0.0048313886407148;0.0630444067523231;1.28585681432664;-15.6041189277235;Inf;0.0229857732475715;-0.936955593247677;"";-0.0183198902062726;0.0048313886407148;0.0630444067523231;1.28585681432664;"1,1,1,1";"";-0.0542476312940536;0.00152356261388023;0.0178749773877578;3.59727854761606;1.17477805782744;-42.0554829773905;-82.0554829773905;0.00092776997764605;"";"21";"03";"18";0.01;0.01;0.007;0.75;-3.48950289643287;-0.0183198902062726;0.0048313886407148;0.0630444067523231;"robust linear";2018-03-21;"15:23";"gmt-3-S";11.75;30;"greek mountain tea";"up";"interrow";"3"
"21_03_18_CS9_24";"CS9";24;-0.036215602729421;0.00968500801786588;0.0646579209720369;1.31612246523062;-12.6344747122;Inf;0.0333174404470439;-0.935342079027963;"";-0.036215602729421;0.00968500801786588;0.0646579209720369;1.31612246523062;"1,1,1,1";"";-0.0909707430804228;0.0426473453591742;0.27908131470151;2.898527753622;1.14404284723877;-16.7873070183825;-56.7873070183825;0.0218357939809342;"";"21";"03";"18";0.01;0.01;0.007;0.75;-6.89821004369923;-0.036215602729421;0.00968500801786588;0.0646579209720369;"robust linear";2018-03-21;"15:24";"tym-3-R";16.25;30;"thyme";"up";"berm";"3"
"21_03_18_CS9_3";"CS9";3;0.00427240916445595;0.00504633856198858;0.486348819218319;1.23200711819839;-18.2107676475018;Inf;0.0165940530324779;0.513651180781681;"";0.00427240916445595;0.00504633856198858;0.486348819218319;1.23200711819839;"1,1,1,1";"";NA;NA;NA;NA;NA;NA;NA;NA;"Fehlender Wert oder etwas Unendliches durch das Modell erzeugt";"21";"03";"18";0.01;0.01;0.007;0.75;0.813792221801133;0.00427240916445595;0.00504633856198858;0.486348819218319;"robust linear";2018-03-21;"15:26";"gmt-1-R";17;30;"greek mountain tea";"down";"berm";"1"
"21_03_18_CS9_4";"CS9";4;-0.010308148727117;0.00218681282162188;0.042178209082223;1.25319504414247;-21.0458052874005;Inf;0.0116425288647968;-0.957821790917775;"";-0.00951626435684454;0.000155619973755626;0.000216342316872576;1.24565328823511;"1,0.03,1,1";"";-0.0103081645753909;135382375385379;1;4.33518873133369e-06;-22644.357420819;-19.0457974356308;-59.0457974356308;0.0164650383808691;"";"21";"03";"18";0.01;0.01;0.007;0.75;-1.96345690040324;-0.00951626435684454;0.000155619973755626;0.000216342316872576;"robust linear";2018-03-21;"16:08";"ctrl-1-S";10.5;30;"control";"down";"interrow";"1"
"21_03_18_CS9_5";"CS9";5;-0.0106779994732062;0.00178619212400312;0.0268596012712014;1.2508141335402;-26.6361731964043;Inf;0.00578847392774741;-0.973140398728799;"";-0.0106779994732062;0.00178619212400312;0.0268596012712014;1.2508141335402;"1,1,1,1";"";-0.0211045225366499;0.00344699763028231;0.10306890573569;2.04826746065973;1.19514386005412;-35.9084199735039;-75.9084199735039;0.0020005285680127;"";"21";"03";"18";0.01;0.01;0.007;0.75;-2.03390466156308;-0.0106779994732062;0.00178619212400312;0.0268596012712014;"robust linear";2018-03-21;"16:10";"tym-2-R";17.25;30;"thyme";"down";"berm";"2"
"21_03_18_CS9_6";"CS9";6;-0.00906157949297377;0.00282418582615194;0.0849422664620554;1.26271272350875;-22.2433264025279;Inf;0.0100239229974082;-0.915057733537944;"";-0.00906157949297377;0.00282418582615194;0.0849422664620554;1.26271272350875;"1,1,1,1";"";-0.0123614634965042;0.0165238025325457;0.591109137994498;0.865383830138054;1.17364353704992;-20.5258781580229;-60.5258781580229;0.0136840258555208;"";"21";"03";"18";0.01;0.01;0.007;0.75;-1.72601514151881;-0.00906157949297377;0.00282418582615194;0.0849422664620554;"robust linear";2018-03-21;"16:12";"ctrl-2-R";15.75;30;"control";"down";"berm";"2"
"21_03_18_CS9_7";"CS9";7;-0.0138413425603236;0.00216335742608417;0.0235684985172692;1.26354389999689;-20.7417541529245;Inf;0.012093535660883;-0.976431501482731;"";-0.0135700514963696;0.00237532793646139;0.0269561225929569;1.26422212765678;"1,1,0.58,1";"";-0.018315863274588;0.0116052405551194;0.35954486707749;0.779470018456244;1.03202680463558;-19.5609432221597;-59.5609432221597;0.0154382164583296;"";"21";"03";"18";0.01;0.01;0.007;0.75;-2.63644620196641;-0.0135700514963696;0.00237532793646139;0.0269561225929569;"robust linear";2018-03-21;"16:14";"gmt-2-S";10;30;"greek mountain tea";"down";"interrow";"2"
"21_03_18_CS9_8";"CS9";8;-0.0109700054839057;0.00695866233715311;0.255628137858366;1.26424930050894;-13.338716509116;Inf;0.0305098863104743;-0.744371862141633;"";-0.0109700054839057;0.00695866233715311;0.255628137858366;1.26424930050894;"1,1,1,1";"";-0.173155922539752;0.392851442163826;0.73570779504942;18.2354972846126;1.21316879621817;-26.3106059422716;-66.3106059422716;0.00664017410351484;"";"21";"03";"18";0.01;0.01;0.007;0.75;-2.08952485407728;-0.0109700054839057;0.00695866233715311;0.255628137858366;"robust linear";2018-03-21;"16:16";"oreg-2-S";12.75;30;"oregano";"down";"interrow";"2"
"21_03_18_CS9_9";"CS9";9;-0.000812993714379027;0.000447020927318874;0.210579373935369;1.25756364752623;-34.2985084145512;Inf;0.00222126484633332;-0.789420626064625;"";-0.000664322029889155;8.94019994299086e-05;0.0145324789063736;1.25789402904732;"1,1,0.087,1";"";-0.00183688611995771;0.0034419286120209;0.687912019079408;2.44304293429977;1.25151569077286;-33.1906242657129;-73.1906242657129;0.00280986346479234;"";"21";"03";"18";0.01;0.01;0.007;0.75;-0.154855945596005;-0.000664322029889155;8.94019994299086e-05;0.0145324789063736;"robust linear";2018-03-21;"16:18";"ctrl-3-S";11.25;30;"control";"down";"interrow";"3"
"12_04_18_CS10_1";"CS10";1;-0.0273694859934947;0.00397282331293693;0.0204266678321241;1.29605078192207;-13.6524656340412;Inf;0.0293364899456032;-0.979573332167876;"";-0.0273694859934947;0.00397282331293693;0.0204266678321241;1.29605078192207;"1,1,1,1";"";NA;NA;NA;NA;NA;NA;NA;NA;"Fehlender Wert oder etwas Unendliches durch das Modell erzeugt";"12";"04";"18";0.003;0.003;0.0025;0.500000000000003;-21.8955887947956;-0.0273694859934947;0.00397282331293693;0.0204266678321241;"robust linear";2018-04-12;"9:22";"a1";5;25;"no cover";"50";"interrow";"1"
"12_04_18_CS10_10";"CS10";10;-0.0207867248802855;0.0021603769352592;0.0106296524077747;1.24596997100783;-16.9116380683208;Inf;0.0195199218524686;-0.989370347592225;"";-0.0207912012200986;0.00350476176247976;0.02722746901372;1.24603351445231;"1,0.99,1,1";"";-0.0258511723326776;0.0116943732294399;0.270452369581595;0.748318229361365;0.561341541088469;-15.6285099753521;-55.6285099753521;0.0252392463889042;"";"12";"04";"18";0.003;0.003;0.0025;0.6;-13.857816586857;-0.0207912012200986;0.00350476176247976;0.02722746901372;"robust linear";2018-04-12;"9:24";"b2";5;25;"field pea";"100";"interrow";"2"
